Component,Property,Unit,Industrial,Metropolitan,Rural-Dense,Rural-Sparse,Suburban
gas_boiler,revenueLifetimeShorteningResale,[1e9 Euro],0,0,0,0,0
h2_boiler,NPVcontribution,[1e9 Euro],0.0,0.0,0.0,0.0,0.0
h2_boiler,TAC,[1e9 Euro/a],0.0,0.0,0.0,0.0,0.0
h2_boiler,capacity,[kW],-0.0,-0.0,-0.0,-0.0,-0.0
h2_boiler,capexCap,[1e9 Euro/a],0.0,0.0,0.0,0.0,0.0
h2_boiler,capexIfBuilt,[1e9 Euro/a],,,,,
h2_boiler,commissioning,[kW],-0.0,-0.0,-0.0,-0.0,-0.0
h2_boiler,decommissioning,[kW],0.0,0.0,0.0,0.0,0.0
h2_boiler,invest,[1e9 Euro],0.0,0.0,0.0,0.0,0.0
h2_boiler,investLifetimeExtension,[1e9 Euro],0,0,0,0,0
h2_boiler,isBuilt,[-],,,,,
h2_boiler,operation,[kW*h],0.0,0.0,0.0,0.0,0.0
h2_boiler,operation_annual,[kW*h/a],0.0,0.0,0.0,0.0,0.0
h2_boiler,opexCap,[1e9 Euro/a],0.0,0.0,0.0,0.0,0.0
h2_boiler,opexIfBuilt,[1e9 Euro/a],,,,,
h2_boiler,opexOp,[1e9 Euro/a],0.0,0.0,0.0,0.0,0.0
h2_boiler,revenueLifetimeShorteningResale,[1e9 Euro],0,0,0,0,0
