epsilon,objective_type,system_cost_billion,social_acceptance_index,co2_emissions_mt,total_heat_generation_twh,cap_air_hp_Metropolitan_mw,cap_air_hp_Suburban_mw,cap_air_hp_Rural-Dense_mw,cap_air_hp_Rural-Sparse_mw,cap_air_hp_Industrial_mw,cap_air_hp_gw,cap_dh_large_hp_Metropolitan_mw,cap_dh_large_hp_Suburban_mw,cap_dh_large_hp_Rural-Dense_mw,cap_dh_large_hp_Rural-Sparse_mw,cap_dh_large_hp_Industrial_mw,cap_dh_large_hp_gw,cap_gas_boiler_Metropolitan_mw,cap_gas_boiler_Suburban_mw,cap_gas_boiler_Rural-Dense_mw,cap_gas_boiler_Rural-Sparse_mw,cap_gas_boiler_Industrial_mw,cap_gas_boiler_gw,cap_h2_boiler_Metropolitan_mw,cap_h2_boiler_Suburban_mw,cap_h2_boiler_Rural-Dense_mw,cap_h2_boiler_Rural-Sparse_mw,cap_h2_boiler_Industrial_mw,cap_h2_boiler_gw,cap_biomass_boiler_Metropolitan_mw,cap_biomass_boiler_Suburban_mw,cap_biomass_boiler_Rural-Dense_mw,cap_biomass_boiler_Rural-Sparse_mw,cap_biomass_boiler_Industrial_mw,cap_biomass_boiler_gw,cap_tes_Metropolitan_mwh,cap_tes_Suburban_mwh,cap_tes_Rural-Dense_mwh,cap_tes_Rural-Sparse_mwh,cap_tes_Industrial_mwh,cap_tes_gwh,gen_air_hp_Metropolitan_twh,gen_air_hp_Suburban_twh,gen_air_hp_Rural-Dense_twh,gen_air_hp_Rural-Sparse_twh,gen_air_hp_Industrial_twh,gen_air_hp_twh,gen_dh_large_hp_Metropolitan_twh,gen_dh_large_hp_Suburban_twh,gen_dh_large_hp_Rural-Dense_twh,gen_dh_large_hp_Rural-Sparse_twh,gen_dh_large_hp_Industrial_twh,gen_dh_large_hp_twh,gen_gas_boiler_Metropolitan_twh,gen_gas_boiler_Suburban_twh,gen_gas_boiler_Rural-Dense_twh,gen_gas_boiler_Rural-Sparse_twh,gen_gas_boiler_Industrial_twh,gen_gas_boiler_twh,gen_h2_boiler_Metropolitan_twh,gen_h2_boiler_Suburban_twh,gen_h2_boiler_Rural-Dense_twh,gen_h2_boiler_Rural-Sparse_twh,gen_h2_boiler_Industrial_twh,gen_h2_boiler_twh,gen_biomass_boiler_Metropolitan_twh,gen_biomass_boiler_Suburban_twh,gen_biomass_boiler_Rural-Dense_twh,gen_biomass_boiler_Rural-Sparse_twh,gen_biomass_boiler_Industrial_twh,gen_biomass_boiler_twh,co2_direct_Metropolitan_mt,co2_direct_Suburban_mt,co2_direct_Rural-Dense_mt,co2_direct_Rural-Sparse_mt,co2_direct_Industrial_mt,cost_Metropolitan_billion,cost_Suburban_billion,cost_Rural-Dense_billion,cost_Rural-Sparse_billion,cost_Industrial_billion,scenario,demand_reduction_pct,retrofit_investment_billion,total_cost_with_retrofit_billion
0.0,retrofit_no_retrofit,21.766865752163163,1.095642418353219,0.0,451.9022905434313,11097.804990333225,2783.77120032453,17170.573346526417,8917.707586506494,6255.421096227869,46.225278219918536,10485.444014049339,795.3500731265553,0.0,0.0,0.0,11.280794087175893,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,286.5563061095876,-0.0,-0.0,-0.0,0.2865563061095876,69407.2893378732,14568.55093909332,55217.03206581829,28677.513314215204,20116.14756740115,187.98653322440114,97.2167717153191,24.38583571484292,134.1177416997899,69.65537949746388,48.860508841251296,374.23623746866707,71.41658546148813,5.378161769787936,0.0,0.0,0.0,76.79474723127606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8713058434881663,0.0,0.0,0.0,0.8713058434881663,0.0,0.0,0.0,0.0,0.0,2.7031170919292133,0.513029604988845,2.1213098336063245,1.0967160957494408,0.7587661235320088,no_retrofit,0.0,0.0,21.766865752163163
0.0,retrofit_moderate,19.649410917581363,0.8358376491328624,0.0,408.03994165158394,9965.828881319236,2491.4752242904547,15547.954165279678,8101.737342341153,5692.433197567363,41.799428810797885,9415.928724616302,711.8383154482669,0.0,0.0,0.0,10.127767040064569,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,256.46789396808185,-0.0,-0.0,-0.0,0.25646789396808184,62327.7458254101,13038.853090488492,49999.0225355985,26053.520845964526,18305.69428633506,169.72483658379667,87.3006610003567,21.825322964784394,121.44361510915972,63.281912273446025,44.46306304553858,338.31457439328545,64.1320937444164,4.813454783960209,0.0,0.0,0.0,68.9455485283766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7798187299219123,0.0,0.0,0.0,0.7798187299219123,0.0,0.0,0.0,0.0,0.0,2.427399148552433,0.45916149646501625,1.9208460543305272,0.9963665729883674,0.6904771724141282,moderate,15.0,1965.450908703458,1985.1003196210395
0.0,retrofit_deep_retrofit,17.53195608299955,0.5760328799125259,0.0,364.1775927597363,8833.852772305248,2199.179248256379,13925.33498403292,7285.767098175807,5129.445298906851,37.373579401677205,8346.413435183269,628.3265577699784,0.0,0.0,0.0,8.974739992953248,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,226.37948182657374,-0.0,-0.0,-0.0,0.22637948182657372,55248.20231294703,11509.155241883735,44781.01300537861,23429.52837771383,16495.241005268934,151.46313994319212,77.38455028539398,19.264810214725923,108.7694885185296,56.90844504942793,40.065617249826055,302.3929113179035,56.84760202734466,4.248747798132466,0.0,0.0,0.0,61.09634982547713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6883316163556503,0.0,0.0,0.0,0.6883316163556503,0.0,0.0,0.0,0.0,0.0,2.1516812051756533,0.40529338794118747,1.7203822750547284,0.8960170502272933,0.6221882212962471,deep_retrofit,30.0,7861.803634813832,7879.3355908968315
