month,seasonality_weight
1,0.7135521394288274
2,0.7371816406017953
3,0.9241193616628897
4,1.0821083563736194
5,1.1799335966284947
6,1.2106871986347811
7,1.2622811250235977
8,1.2288751287173256
9,1.1280630691047584
10,1.018263760020373
11,0.8173710618243282
12,0.6975635619792092
