scenario,weather_year,solar_cf,wind_cf,total_cost_eur,renewable_share,solar_twh,onwind_twh,silo_days,max_storage_t
weather_2023,2023.0,0.11333333333333331,0.35226662316637897,271179404.3357186,0.9912008593645932,21.000437706002188,132.8200480843023,,
storage_5d,,,,271179450.30304664,0.9912008569569382,20.998948703368526,132.82153671330164,5.0,534000.0
storage_30d,,,,271179409.8894604,0.9912008590735185,20.999425861743777,132.82105988338998,30.0,3204000.0
